adressetekst,kommunenummer,kommunenavn,postnummer,poststed,lat,lon,epsg
Auslandsveien 188,4211,GJERSTAD,4980,GJERSTAD,58.889205043345925,9.047157400326663,EPSG:4258
Auslandsveien 192,4211,GJERSTAD,4980,GJERSTAD,58.88929464761491,9.047712724987324,EPSG:4258
Auslandsveien 196,4211,GJERSTAD,4980,GJERSTAD,58.88947402505033,9.04835492848426,EPSG:4258
Auslandsveien 20,4211,GJERSTAD,4980,GJERSTAD,58.89014678191945,9.01495613771778,EPSG:4258
Auslandsveien 212,4211,GJERSTAD,4980,GJERSTAD,58.89016509306722,9.049553079067179,EPSG:4258
Auslandsveien 216,4211,GJERSTAD,4980,GJERSTAD,58.8908651102503,9.050803343200977,EPSG:4258
Auslandsveien 22,4211,GJERSTAD,4980,GJERSTAD,58.887253977932644,9.02187716344431,EPSG:4258
Auslandsveien 253,4211,GJERSTAD,4980,GJERSTAD,58.89079998907372,9.056251410954129,EPSG:4258
Auslandsveien 26,4211,GJERSTAD,4980,GJERSTAD,58.88752322780839,9.022883586749076,EPSG:4258
Auslandsveien 28,4211,GJERSTAD,4980,GJERSTAD,58.888223742606314,9.022814651317487,EPSG:4258
Auslandsveien 280,4211,GJERSTAD,4980,GJERSTAD,58.89183099043746,9.060226545769781,EPSG:4258
Auslandsveien 3,4211,GJERSTAD,4980,GJERSTAD,58.88530517270641,9.021702452001511,EPSG:4258
Auslandsveien 30,4211,GJERSTAD,4980,GJERSTAD,58.88837645492109,9.02259441169911,EPSG:4258
Auslandsveien 39,4211,GJERSTAD,4980,GJERSTAD,58.88785586816767,9.02579155938731,EPSG:4258
Auslandsveien 48,4211,GJERSTAD,4980,GJERSTAD,58.888744207987266,9.025087818672295,EPSG:4258
Auslandsveien 5,4211,GJERSTAD,4980,GJERSTAD,58.88555651989848,9.022379189617869,EPSG:4258
Auslandsveien 70,4211,GJERSTAD,4980,GJERSTAD,58.88857275632552,9.028991381550819,EPSG:4258
Auslandsveien 78,4211,GJERSTAD,4980,GJERSTAD,58.88923671722594,9.031629145296701,EPSG:4258
Bakken 10,4211,GJERSTAD,4993,SUNDEBRU,58.84352663280021,9.09834916912411,EPSG:4258
Bakken 12,4211,GJERSTAD,4993,SUNDEBRU,58.84367057665227,9.09802035881747,EPSG:4258
Bakken 14,4211,GJERSTAD,4993,SUNDEBRU,58.843131712411456,9.09803616377561,EPSG:4258
Bakken 16,4211,GJERSTAD,4993,SUNDEBRU,58.84287198743636,9.097082451788133,EPSG:4258
Bakken 18,4211,GJERSTAD,4993,SUNDEBRU,58.842827770083865,9.09616400475657,EPSG:4258
Bakken 20,4211,GJERSTAD,4993,SUNDEBRU,58.84235316437633,9.094291414885252,EPSG:4258
Bakken 3,4211,GJERSTAD,4993,SUNDEBRU,58.843630813410975,9.097159081851713,EPSG:4258
Bakken 4,4211,GJERSTAD,4993,SUNDEBRU,58.84302328177801,9.098902205131491,EPSG:4258
Bakken 6,4211,GJERSTAD,4993,SUNDEBRU,58.842933724898444,9.098572738633756,EPSG:4258
Bakken 8,4211,GJERSTAD,4993,SUNDEBRU,58.84321217096177,9.098521548406685,EPSG:4258
Bjordamsveien 10,4211,GJERSTAD,4993,SUNDEBRU,58.8107613949548,9.09006837648715,EPSG:4258
Bjordamsveien 106,4211,GJERSTAD,4993,SUNDEBRU,58.8136124685446,9.09914740358361,EPSG:4258
Bjordamsveien 25,4211,GJERSTAD,4993,SUNDEBRU,58.80865120848458,9.089595542237618,EPSG:4258
Bjordamsveien 33,4211,GJERSTAD,4993,SUNDEBRU,58.80858771432142,9.090495487009035,EPSG:4258
Bjordamsveien 35,4211,GJERSTAD,4993,SUNDEBRU,58.80827290773762,9.09116974246225,EPSG:4258
Bjordamsveien 37,4211,GJERSTAD,4993,SUNDEBRU,58.80863205819755,9.091291853317173,EPSG:4258
Bjordamsveien 39,4211,GJERSTAD,4993,SUNDEBRU,58.80578617974548,9.089761240004368,EPSG:4258
Bjordamsveien 44,4211,GJERSTAD,4993,SUNDEBRU,58.80948473997673,9.092003812686032,EPSG:4258
Bjordamsveien 45,4211,GJERSTAD,4993,SUNDEBRU,58.80855018120432,9.092762967831197,EPSG:4258
Bjordamsveien 60,4211,GJERSTAD,4993,SUNDEBRU,58.810811320759164,9.094354681410442,EPSG:4258
Bjordamsveien 62,4211,GJERSTAD,4993,SUNDEBRU,58.81033043282474,9.094912509523734,EPSG:4258
Bjordamsveien 76,4211,GJERSTAD,4993,SUNDEBRU,58.81059531798127,9.096195961825966,EPSG:4258
Bjordamsveien 8,4211,GJERSTAD,4993,SUNDEBRU,58.81149857300923,9.088996991202855,EPSG:4258
Aplandsveien 1,4211,GJERSTAD,4980,GJERSTAD,58.882267046534224,9.03386048956385,EPSG:4258
Aplandsveien 144,4211,GJERSTAD,4980,GJERSTAD,58.88854846296854,9.049776312721155,EPSG:4258
Aplandsveien 16,4211,GJERSTAD,4980,GJERSTAD,58.88351496518826,9.035405608855934,EPSG:4258
Aplandsveien 18,4211,GJERSTAD,4980,GJERSTAD,58.8860216453053,9.031400680231464,EPSG:4258
Aplandsveien 182,4211,GJERSTAD,4980,GJERSTAD,58.88794402792115,9.056402918027908,EPSG:4258
Aplandsveien 20,4211,GJERSTAD,4980,GJERSTAD,58.884583827281695,9.034868921715983,EPSG:4258
Aplandsveien 202,4211,GJERSTAD,4980,GJERSTAD,58.88692376732895,9.058516087526499,EPSG:4258
Aplandsveien 22,4211,GJERSTAD,4980,GJERSTAD,58.88327231085189,9.036029855295753,EPSG:4258
Aplandsveien 37,4211,GJERSTAD,4980,GJERSTAD,58.8822574602143,9.036098186243908,EPSG:4258
Aplandsveien 56,4211,GJERSTAD,4980,GJERSTAD,58.883665259862475,9.037473556243333,EPSG:4258
Aplandsveien 58,4211,GJERSTAD,4980,GJERSTAD,58.884205702395334,9.038164572637868,EPSG:4258
Aplandsveien 61,4211,GJERSTAD,4980,GJERSTAD,58.883189933900496,9.041216530313156,EPSG:4258
Aplandsveien 76,4211,GJERSTAD,4980,GJERSTAD,58.884878303183996,9.041287930351217,EPSG:4258
Aplandsveien 78,4211,GJERSTAD,4980,GJERSTAD,58.88475234280326,9.041999040381937,EPSG:4258
Aplandsveien 83,4211,GJERSTAD,4980,GJERSTAD,58.885245898386295,9.043179306469064,EPSG:4258
